,Price,Square Meters,Address,Bedrooms,Bathrooms,Listing Type
1188,310 000 €,58,"Lisboa, Ajuda",2,1,Apartamento
1189,225 000 €,87,"Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",3,2,Apartamento
1190,162 000 €,95,"Loures, Sacavém e Prior Velho",--,--,Loja
1191,1 800 000 €,247,"Cascais, Cascais e Estoril",3,3,Moradia
1192,47 000 €,1205,"Sintra, Almargem do Bispo, Pêro Pinheiro e Montelavar",--,0,Terreno
1193,2 190 000 €,244,"Cascais, Cascais e Estoril",4,4,Apartamento
1194,238 500 €,60,"Lisboa, Arroios",1,1,Apartamento
1195,140 000 €,33,"Sintra, Queluz e Belas",1,1,Apartamento
1196,280 000 €,111,"Odivelas, Ramada e Caneças",3,2,Apartamento
1197,119 900 €,48,"Setúbal, Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça)",0,1,Apartamento
1198,380 000 €,59,"Oeiras, Carnaxide e Queijas",1,1,Apartamento
1199,747 000 €,204,"Sintra, Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",5,4,Moradia
1200,365 000 €,72,"Lisboa, Arroios",2,1,Apartamento
1201,179 900 €,--,"Sintra, São João das Lampas e Terrugem",--,--,Terreno
1202,250 000 €,84,"Vila Franca de Xira, Póvoa de Santa Iria e Forte da Casa",2,1,Apartamento
1203,895 000 €,163,"Lisboa, Misericórdia",3,4,Apartamento
1204,155 000 €,49,"Amadora, Águas Livres",1,1,Apartamento
1205,200 000 €,108,"Mafra, Enxara do Bispo, Gradil e Vila Franca do Rosário",2,2,Moradia
1206,350 000 €,110,"Lisboa, Santa Maria Maior",2,1,Apartamento
1207,1 200 000 €,163,"Cascais, Cascais e Estoril",3,3,Apartamento
1208,49 500 €,--,"Vila Franca de Xira, Alhandra, São João dos Montes e Calhandriz",--,0,Terreno
1209,80 000 €,69,"Sintra, Agualva e Mira-Sintra",--,0,Garagem
1210,145 000 €,74,"Torres Vedras, São Pedro da Cadeira",3,1,Moradia
1211,280 000 €,78,"Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",2,2,Apartamento
1212,980 000 €,163,"Sintra, Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",3,3,Moradia
1213,360 000 €,125,"Sintra, Agualva e Mira-Sintra",3,2,Apartamento
1214,375 000 €,144,"Sintra, Agualva e Mira-Sintra",3,2,Apartamento
1215,1 080 000 €,220,"Mafra, Ericeira",4,--,Moradia
1216,465 000 €,85,"Oeiras, Oeiras e São Julião da Barra, Paço de Arcos e Caxias",2,1,Apartamento
1217,950 000 €,131,"Lisboa, Lumiar",3,3,Apartamento
1218,1 475 000 €,2010,"Odivelas, Pontinha e Famões",--,2,Armazém
1219,220 000 €,90,"Sintra, Algueirão-Mem Martins",2,1,Apartamento
1220,1 490 000 €,418,"Sintra, Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",9,8,Quinta
1221,259 000 €,68,"Lisboa, Marvila",2,1,Apartamento
1222,1 100 000 €,355,"Odivelas, Pontinha e Famões",5,4,Moradia
1223,168 000 €,40,"Sintra, Massamá e Monte Abraão",1,1,Apartamento
1224,155 000 €,78,"Vila Franca de Xira, Alhandra, São João dos Montes e Calhandriz",2,1,Apartamento
1225,360 000 €,62,"Lisboa, Santo António",1,2,Apartamento
1226,1 390 000 €,302,"Cascais, Cascais e Estoril",4,6,Moradia
1227,299 000 €,110,"Sintra, Colares",2,2,Apartamento
1228,67 000 €,99,"Sintra, Casal de Cambra",--,--,Loja
1229,170 000 €,88,"Sintra, Agualva e Mira-Sintra",2,--,Apartamento
1230,470 000 €,206,"Cascais, Cascais e Estoril",--,--,Loja
1231,699 000 €,112,"Lisboa, Santa Maria Maior",1,1,Apartamento
1232,450 000 €,84,"Cascais, Cascais e Estoril",3,1,Apartamento
1233,85 000 €,--,"Amadora, Mina de Água",--,0,Terreno
1234,520 000 €,197,"Loures, Santa Iria de Azoia, São João da Talha e Bobadela",5,6,Moradia
1235,159 800 €,80,"Sintra, Rio de Mouro",2,1,Apartamento
1236,25 500 €,8,"Lisboa, Areeiro",--,--,Arrecadação
1237,403 000 €,82,"Lisboa, Areeiro",2,1,Apartamento
1238,248 000 €,127,"Alenquer, Alenquer (Santo Estêvão e Triana)",0,--,Moradia
1239,49 000 €,100,"Odivelas, Odivelas",--,0,Trespasse
1240,314 500 €,144,"Sintra, Massamá e Monte Abraão",3,2,Apartamento
1241,5 260 000 €,1387,"Oeiras, Oeiras e São Julião da Barra, Paço de Arcos e Caxias",14,14,Moradia
1242,1 190 000 €,308,"Oeiras, Oeiras e São Julião da Barra, Paço de Arcos e Caxias",3,4,Moradia
1243,550 000 €,106,"Cascais, Cascais e Estoril",3,2,Apartamento
1244,370 000 €,86,"Lisboa, São Vicente",1,1,Apartamento
1245,249 000 €,254,"Torres Vedras, Torres Vedras (São Pedro, Santiago, Santa Maria do Castelo e São Miguel) e Matacães",5,2,Moradia
1246,359 000 €,183,"Torres Vedras, Ramalhal",4,3,Moradia
1247,315 000 €,46,"Lisboa, Arroios",1,1,Apartamento
1248,349 000 €,108,"Lisboa, Belém",3,4,Apartamento
1249,445 000 €,103,"Lisboa, Lumiar",3,2,Apartamento
1250,378 000 €,129,"Loures, Santo Antão e São Julião do Tojal",2,2,Apartamento
1251,2 790 000 €,450,"Cascais, Cascais e Estoril",4,6,Moradia
1252,178 000 €,70,"Lisboa, Penha de França",2,1,Apartamento
1253,179 000 €,35,"Lisboa, Marvila",1,0,Apartamento
1254,850 000 €,141,"Oeiras, Porto Salvo",6,4,Moradia
1255,549 000 €,126,"Lisboa, Arroios",3,2,Apartamento
1256,185 000 €,86,"Sintra, Rio de Mouro",2,1,Apartamento
1257,1 080 000 €,290,"Sintra, Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",4,3,Moradia
1258,235 000 €,89,"Sintra, Rio de Mouro",2,1,Apartamento
1259,1 650 000 €,197,"Cascais, Alcabideche",5,6,Moradia
1260,650 000 €,77,"Lisboa, Santa Maria Maior",1,2,Apartamento
