,Price,Square Meters,Address,Bedrooms,Bathrooms
1147,260 000 €,80,"Sintra, Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",2,1
1148,219 500 €,78,"Sintra, Rio de Mouro",2,0
1149,800 000 €,150,"Lisboa, Parque das Nações",--,0
1150,376 000 €,115,"Cascais, Cascais e Estoril",2,3
1151,158 000 €,85,"Azambuja, Azambuja",2,1
1152,1 390 000 €,287,"Lisboa, Belém",4,8
1153,402 500 €,100,"Lisboa, Lumiar",3,2
1154,155 000 €,85,"Sintra, Almargem do Bispo, Pêro Pinheiro e Montelavar",2,1
1155,130 000 €,62,"Azambuja, Azambuja",2,0
1156,250 000 €,73,"Sintra, Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",2,1
1157,230 000 €,67,"Cascais, Cascais e Estoril",3,1
1158,380 000 €,23800,"Sintra, São João das Lampas e Terrugem",--,0
1159,149 750 €,79,"Alenquer, Alenquer (Santo Estêvão e Triana)",2,1
1160,1 699 000 €,168,"Oeiras, Oeiras e São Julião da Barra, Paço de Arcos e Caxias",4,3
1161,3 300 000 €,810,"Lisboa, Estrela",--,--
1162,750 000 €,550,"Lisboa, Ajuda",--,2
1163,215 000 €,224,"Odivelas, Pontinha e Famões",--,1
1164,1 400 000 €,182,"Lisboa, Arroios",8,6
1165,1 490 000 €,915,"Vila Franca de Xira, Alverca do Ribatejo e Sobralinho",--,0
1166,350 000 €,113,"Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",3,0
1167,350 000 €,62,"Lisboa, Lumiar",0,1
1168,145 000 €,94,"Torres Vedras, Ventosa",2,1
1169,288 000 €,41,"Cascais, Cascais e Estoril",1,1
1170,250 000 €,79,"Loures, Santo António dos Cavaleiros e Frielas",2,1
