Address,Price,Property Type,Rooms,Bathrooms,Square Meters
"São Domingos de Rana, Lisboa",Desde495.000 €,Apartamentos,2-3,1-2,74-109
"Olivais Sul, Lisboa",275.000 €,Apartamento,3,1,75
"Carnaxide Norte, Oeiras",650.000 €,Moradia Geminada,4,3,120
"Olivais Sul, Lisboa",499.000 €,Apartamento,3,2,130
"Massamá 6ª Fase, Sintra",230.000 €,Apartamento,1,1,81
"Campinas, Sintra",305.000 €,Apartamento,3,2,110
"Avenidas Novas, Lisboa",549.000 €,Apartamento,3,1,84
"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Lisboa",1.295.000 €,Moradia Geminada,8,6,210
"Marvila, Lisboa",520.000 €,Apartamento,4,2,100
"Massamá 6ª Fase, Sintra",250.000 €,Apartamento,2,2,96
"Marvila, Lisboa",260.000 €,Apartamento,1,1,66
"Alcochete, Setúbal",630.000 €,Duplex,4,4,203
"Cacém e São Marcos, Lisboa",195.000 €,Apartamento,2,1,65
"Cacém e São Marcos, Lisboa",199.000 €,Apartamento,3,1,65
"Beato, Lisboa",269.000 €,Apartamento,3,1,60
"Alvalade, Lisboa",439.000 €,Apartamento,2,1,71
"Atibá, Cascais",380.000 €,Duplex,3,2,126
"Abuxarda, Cascais",685.000 €,Moradia,4,4,126
"Mem Martins, Sintra",219.000 €,Apartamento,2,1,81
"Laranjeiro e Feijó, Setúbal",125.000 €,Moradia,11,8,496
"Linda-a-Velha, Oeiras",320.000 €,Apartamento,2,1,65
"Mina de Água, Lisboa",755.000 €,Moradia Geminada,4,4,188
"Algés, Oeiras",265.000 €,Apartamento,1,2,52
"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa",350.000 €,Moradia,2,1,55
"Odivelas, Lisboa",420.000 €,Apartamento,3,3,101
"Linda-a-velha, Oeiras",240.000 €,Apartamento,2,1,74
"Olivais, Lisboa",229.000 €,Apartamento,2,1,2
"Damaia de Baixo, Amadora",165.000 €,Apartamento,1,1,42
"Madragoa, Lisboa, Lisboa",370.000 €,Apartamento,2,1,60
"Damaia de Baixo, Amadora",Sob Consulta,Apartamento,2,1,60
"Califa - Laranjeiras, Lisboa",188.000 €,Apartamento,0,1,44
"Alto dos Moinhos, Lisboa",369.900 €,Apartamento,2,2,64
"Alto dos Moinhos, Lisboa",429.900 €,Apartamento,2,2,65
"Bairro dos Actores, Lisboa",359.000 €,Apartamento,2,1,63
"Queluz, Sintra",199.000 €,Apartamento,3,2,67
"Lumiar, Lisboa",410.000 €,Apartamento,3,2,100
"Monte da Caparica, Almada",119.000 €,Apartamento,1,1,56
"Campo de Ourique, Lisboa",485.000 €,Apartamento,3,2,98
